ID	redshift	EW(Ha) MAST	EW(Ha) JADES	EW(Hb) MAST	EW(Hb) JADES	EW([OIII]) MAST	EW([OIII]) JADES
3184	3.46762	-325.9558342714319	-335.2105935477422	-37.812918640379685	-44.49152355606947	-398.49095028568195	-522.5068121406381
3334	6.70593	708.9348164592424	3770.213984517272	-106.90374378603538	-35.88889301319259	-1080.8998996741998	-1024.5235396809662
4197	3.748809	-169.08216384009273	-353.6089471159295	-23.22873723970028	14.69817273449405	8.915245534821619	-38.438067336492594
4270	4.02261238702772	-988.6794168708836	-1168.3120995058302	-132.3523265977071	-128.7322982109069	-1155.9247226463901	-1462.308647308113
4297	6.712776	-6209.236439675278	584.4965042338688	-299.96204136137084	-202.90303159579292	-3217.6140416408243	-2452.1338319285974
4404	5.763688	-1224.3493779139335	-1310.6265219496734	-179.35889485986888	-194.76783156040665	-1370.5094236076577	-1315.813630344043
5329	3.5873007444784	-61.85364594996501	-57.05451871548169	-21.94269858404396	-26.07625914603334	-78.93155696272188	-75.26474412332153
5759	5.05189382127941	-558.8456987991658	-670.5240441227106	-124.6266067861943	-130.39969209858793	-907.6861730202263	-954.2324515159532
6002	5.93685818347379	-3032.748702192468	-1621.5746753495428	-103.5897533762597	-97.77208459769408	-849.4438650022307	-783.57480135097
6384	5.61541238216689	-251.35088535208064	-157.08171757095124	-50.52950148234994	-44.354414519917036	-190.31483429802975	-170.0542800301832
7507	4.04428024657048	-911.4347106454236	-962.1376625078435	-143.70356689388936	-145.06720012824863	-912.9279727341852	-943.2718423448678
7624	4.854	-2.212359308387691	-66.90640418660887	-4.9037823141823225	-6.002862268135494	-87.12151573971595	-94.80585268562707
7762	4.14863310108243	-384.0349743362331	-377.35965660052307	-55.10106753438265	-59.08712261066571	-523.0991417502988	-565.0024241473843
7809	3.57819206358422	-284.0714785954228	-267.8625174783926	-67.32711121525182	-32.61300903257317	-467.64333385022167	-377.4217993626571
7892	4.22872754610498	-920.2765504337558	-850.1893690640542	-149.41591291843554	-144.0718902638505	-1229.4283526103854	-1171.4347859336601
7938	4.80631123887867	-683.9113397023768	-581.1622178223688	-113.1838589672904	-125.26755225966731	-1190.0899781199453	-1273.9316587830729
8083	4.6487198664651	-1407.800807589728	-1329.5132309438964	-170.08689717724386	-162.24137289812896	-1979.953681155332	-1926.1209006055883
8113	4.90277103561231	-517.2170985572146	-528.5334667638483	-98.34405079695564	-90.02867931805292	-846.790668704097	-832.5874078046717
9422	5.935895	-2045.8823419304097	-2244.233364184704	-290.31142187331534	-265.5098899810742	-2388.55930586695	-2289.2428069806465
9452	5.12243857379367	-600.8756968781909	-543.8542286195499	-44.30566278634623	-68.56221646898359	-901.5133481034073	-719.3246870561597
9743	5.44012039584156	-1123.7132908066317	-1283.0932126598523	-198.16926277947735	-344.7233370768352	-1704.789862119164	-2029.9169455644237
16625	6.630648	-632.667503142233	1261.8772612502473	-327.9697407762933	-266.1271945358676	-1715.7238289013683	-1375.9004070351937
16745	5.56655234405774	-460.9699661154866	-404.9583122413095	-76.68926766002932	-68.27762558588381	-731.3405754211078	-709.6002377595488
17072	4.70200977971638	-148.2403040170565	-187.2842912452575	-16.343428632072392	-12.404304226715222	-217.43594493775035	-194.69333224630714
17260	4.88512714601353	-210.86450003702345	-191.47349883632762	-46.57255818510959	-67.68104719879177	-183.68511158141027	-235.532683233799
17566	6.101534	-1240.5785452901678	-1533.349435841625	-40.516827568058396	-37.09464195871296	-415.2710310730844	-393.6756477167812
17777	4.13366013096712	-207.6917466241372	-193.1947588059942	-24.15625776061207	-30.766631055263467	-360.9390234138205	-365.2103589183065
18028	3.73094591607022	-105.1969989158813	-204.32090721237012	-17.514676234090388	-80.01997265077713	-104.3673829013989	-410.7420646802042
18090	4.77562372049334	-946.4342823852899	-984.2477508921133	-129.80381431284252	-147.76569527472475	-1575.415966187698	-1683.6137628591284
18846	6.335054	-2934.075029055324	-4197.465816238157	-152.81704045775086	-163.3469523518309	-1034.963095390986	-1065.509869963937
18976	6.327052	-1908.9109152877336	-8438.40968380495	-86.43594105051903	-111.37938297077784	-635.911729018328	-871.1509235720107
19342	5.974287	-490.3674025395046	-854.8604924912493	-162.67262008597686	-163.04144125115582	-906.5805496432095	-1174.0968426824465
19519	3.60450973158305	-442.86738212006867	-495.74145022515984	-96.51618172676731	-72.41520686627001	-744.4589089300927	-700.3628684011036
19606	5.88913558713673	-10263.82087150325	11138.065672292803	-201.44772997244291	-224.35364404993297	-1439.4490203702492	-1708.537273125274
20961	7.04457065169479	101.29332354803074	72.01847663028597	-80.15488615457787	-126.08863344253308	-551.6980165413469	-555.4876569469143
22251	5.79838391626917	-872.0096531639049	-1083.9355942037719	-131.94711792191725	-149.21873287133397	-1389.4671362818383	-1493.3109517507442
10000626	4.46468607001795	-685.9625449408517	-755.1534127411636	-153.82631175970124	-174.3177445660712	-1013.3843004070288	-989.3506371261554
10001587	3.43070237834676	-565.2061585960984	-433.9012396226113	-81.13394750268762	-146.19752480415892	-392.53433664864974	-371.38117368312874
10001892	4.770522	-649.9002528879737	-647.0212655736434	-41.88600232008337	-61.96374842423426	-136.15609054970082	-154.17401466526692
10005113	5.820838	-1374.1722812800465	-912.3864615208063	-283.3686180653621	-340.8061510993292	-1435.9156166535784	-1611.5472488980786
10005217	4.8883230178694	-2542.845836282643	-2148.5922703678075	-424.92683741583005	-521.0823869782438	-2171.21079900027	-2526.2912931724927
10005447	6.62257640301802	-181.29021360291017	-192.19059705987112	-155.4613242113206	-407.67032375669135	-883.281874637287	-2594.5008495726133
10009506	3.59928686455817	-674.5777348454293	-631.393734466644	-87.76561763301707	-81.89974569691402	-980.0483442543381	-939.815283151875
10009693	6.28599376348805	1142.3618862177814	-601.0690735750825	-48.50767133829069	-126.05901895185855	-7563.792892511703	-11177.132591425987
10009848	4.37	-21.058104000252705	35.63644600154783	-8.558147086914039	-14.83694059526069	-32.51216706294108	-28.395990877256608
10013545	4.03498294164463	-406.4076883418812	-445.86166547064454	-80.007908932784	-208.78753703497694	-563.1421084055964	-666.406000359204
